county_id,service_area_id,zip_code_id
41033,10091-2024-ORS002,97523
41033,10091-2024-ORS002,97526
41033,10091-2024-ORS002,97538
41033,10091-2024-ORS002,97543
41063,10091-2024-ORS002,97828
41045,10091-2024-ORS002,89421
41059,10091-2024-ORS002,99362
41051,10091-2024-ORS002,97283
41061,10091-2024-ORS002,97850
41061,10091-2024-ORS002,97867
41061,10091-2024-ORS002,97876
41051,10091-2024-ORS002,97014
41051,10091-2024-ORS002,97225
41039,10091-2024-ORS002,97419
41039,10091-2024-ORS002,97430
41039,10091-2024-ORS002,97431
41051,10091-2024-ORS002,97124
41059,10091-2024-ORS002,97810
41055,10091-2024-ORS002,97029
41059,10091-2024-ORS002,97801
41059,10091-2024-ORS002,97826
41045,10091-2024-ORS002,97917
41049,10091-2024-ORS002,97818
41055,10091-2024-ORS002,97033
41055,10091-2024-ORS002,97039
41055,10091-2024-ORS002,97065
41039,10091-2024-ORS002,97402
41039,10091-2024-ORS002,97412
41003,10091-2024-ORS002,97321
41003,10091-2024-ORS002,97448
41039,10091-2024-ORS002,97456
41039,10091-2024-ORS002,97401
41039,10091-2024-ORS002,97404
41039,10091-2024-ORS002,97409
41039,10091-2024-ORS002,97426
41039,10091-2024-ORS002,97437
41039,10091-2024-ORS002,97463
41039,10091-2024-ORS002,97475
41039,10091-2024-ORS002,97492
41039,10091-2024-ORS002,97493
41071,10091-2024-ORS002,97347
41071,10091-2024-ORS002,97378
41003,10091-2024-ORS002,97370
41003,10091-2024-ORS002,97456
41005,10091-2024-ORS002,97019
41005,10091-2024-ORS002,97080
41005,10091-2024-ORS002,97028
41005,10091-2024-ORS002,97038
41005,10091-2024-ORS002,97042
41051,10091-2024-ORS002,97080
41051,10091-2024-ORS002,97203
41005,10091-2024-ORS002,97132
41005,10091-2024-ORS002,97206
41005,10091-2024-ORS002,97375
41005,10091-2024-ORS002,97004
41005,10091-2024-ORS002,97009
41005,10091-2024-ORS002,97015
41005,10091-2024-ORS002,97017
41005,10091-2024-ORS002,97036
41005,10091-2024-ORS002,97070
41005,10091-2024-ORS002,97222
41005,10091-2024-ORS002,97267
41041,10091-2024-ORS002,97324
41007,10091-2024-ORS002,97103
41007,10091-2024-ORS002,97110
41007,10091-2024-ORS002,97138
41051,10091-2024-ORS002,97207
41051,10091-2024-ORS002,97208
41051,10091-2024-ORS002,97210
41051,10091-2024-ORS002,97213
41051,10091-2024-ORS002,97218
41051,10091-2024-ORS002,97242
41051,10091-2024-ORS002,97250
41051,10091-2024-ORS002,97256
41039,10091-2024-ORS002,97424
41039,10091-2024-ORS002,97453
41039,10091-2024-ORS002,97478
41039,10091-2024-ORS002,97480
41041,10091-2024-ORS002,97326
41041,10091-2024-ORS002,97343
41041,10091-2024-ORS002,97364
41041,10091-2024-ORS002,97388
41041,10091-2024-ORS002,97391
41057,10091-2024-ORS002,97107
41057,10091-2024-ORS002,97112
41057,10091-2024-ORS002,97118
41057,10091-2024-ORS002,97122
41057,10091-2024-ORS002,97134
41057,10091-2024-ORS002,97135
41057,10091-2024-ORS002,97136
41057,10091-2024-ORS002,97147
41001,10091-2024-ORS002,97867
41001,10091-2024-ORS002,97834
41001,10091-2024-ORS002,97884
41001,10091-2024-ORS002,97905
41013,10091-2024-ORS002,97751
41021,10091-2024-ORS002,97812
41021,10091-2024-ORS002,97823
41023,10091-2024-ORS002,97817
41023,10091-2024-ORS002,97825
41045,10091-2024-ORS002,97907
41045,10091-2024-ORS002,97902
41045,10091-2024-ORS002,97909
41045,10091-2024-ORS002,97910
41045,10091-2024-ORS002,97911
41045,10091-2024-ORS002,97913
41045,10091-2024-ORS002,97914
41045,10091-2024-ORS002,97918
41059,10091-2024-ORS002,97835
41059,10091-2024-ORS002,97838
41059,10091-2024-ORS002,97859
41059,10091-2024-ORS002,97862
41059,10091-2024-ORS002,97868
41059,10091-2024-ORS002,97882
41061,10091-2024-ORS002,97814
41061,10091-2024-ORS002,97824
41065,10091-2024-ORS002,97001
41065,10091-2024-ORS002,97021
41065,10091-2024-ORS002,97040
41041,10091-2024-ORS002,97357
41061,10091-2024-ORS002,97859
41031,10091-2024-ORS002,97760
41009,10091-2024-ORS002,97048
41009,10091-2024-ORS002,97051
41025,10091-2024-ORS002,97732
41027,10091-2024-ORS002,97014
41027,10091-2024-ORS002,97041
41027,10091-2024-ORS002,97044
41031,10091-2024-ORS002,97759
41061,10091-2024-ORS002,97827
41025,10091-2024-ORS002,97721
41025,10091-2024-ORS002,97738
41061,10091-2024-ORS002,97841
41061,10091-2024-ORS002,97883
41063,10091-2024-ORS002,97842
41063,10091-2024-ORS002,97846
41063,10091-2024-ORS002,97857
41063,10091-2024-ORS002,97885
41065,10091-2024-ORS002,97037
41065,10091-2024-ORS002,97057
41065,10091-2024-ORS002,97058
41065,10091-2024-ORS002,97063
41069,10091-2024-ORS002,97830
41013,10091-2024-ORS002,97701
41013,10091-2024-ORS002,97752
41021,10091-2024-ORS002,97843
41021,10091-2024-ORS002,97861
41023,10091-2024-ORS002,97820
41023,10091-2024-ORS002,97845
41023,10091-2024-ORS002,97848
41023,10091-2024-ORS002,97869
41023,10091-2024-ORS002,97873
41025,10091-2024-ORS002,97736
41001,10091-2024-ORS002,97814
41001,10091-2024-ORS002,97819
41001,10091-2024-ORS002,97833
41001,10091-2024-ORS002,97837
41001,10091-2024-ORS002,97840
41001,10091-2024-ORS002,97870
41001,10091-2024-ORS002,97877
41001,10091-2024-ORS002,97907
41013,10091-2024-ORS002,97756
41013,10091-2024-ORS002,97760
41013,10091-2024-ORS002,97753
41013,10091-2024-ORS002,97754
41043,10091-2024-ORS002,97346
41043,10091-2024-ORS002,97352
41043,10091-2024-ORS002,97345
41051,10091-2024-ORS002,97205
41067,10091-2024-ORS002,97062
41005,10091-2024-ORS002,97032
41005,10091-2024-ORS002,97071
41005,10091-2024-ORS002,97202
41051,10091-2024-ORS002,97035
41051,10091-2024-ORS002,97202
41051,10091-2024-ORS002,97204
41051,10091-2024-ORS002,97231
41051,10091-2024-ORS002,97034
41051,10091-2024-ORS002,97254
41051,10091-2024-ORS002,97232
41051,10091-2024-ORS002,97233
41051,10091-2024-ORS002,97251
41051,10091-2024-ORS002,97294
41033,10091-2024-ORS002,97497
41033,10091-2024-ORS002,97532
41033,10091-2024-ORS002,97533
41033,10091-2024-ORS002,97544
41067,10091-2024-ORS002,97035
41067,10091-2024-ORS002,97056
41067,10091-2024-ORS002,97070
41067,10091-2024-ORS002,97225
41067,10091-2024-ORS002,97229
41067,10091-2024-ORS002,97281
41067,10091-2024-ORS002,97298
41047,10091-2024-ORS002,97346
41047,10091-2024-ORS002,97375
41047,10091-2024-ORS002,97383
41047,10091-2024-ORS002,97392
41007,10091-2024-ORS002,97145
41041,10091-2024-ORS002,97341
41041,10091-2024-ORS002,97498
41065,10091-2024-ORS002,97741
41069,10091-2024-ORS002,97848
41069,10091-2024-ORS002,97750
41069,10091-2024-ORS002,97874
41019,10091-2024-ORS002,97424
41019,10091-2024-ORS002,97731
41019,10091-2024-ORS002,97481
41019,10091-2024-ORS002,97484
41019,10091-2024-ORS002,97486
41019,10091-2024-ORS002,97499
41029,10091-2024-ORS002,97526
41029,10091-2024-ORS002,97527
41029,10091-2024-ORS002,97504
41029,10091-2024-ORS002,97522
41029,10091-2024-ORS002,97524
41029,10091-2024-ORS002,97525
41029,10091-2024-ORS002,97530
41029,10091-2024-ORS002,97535
41007,10091-2024-ORS002,97146
41029,10091-2024-ORS002,97536
41029,10091-2024-ORS002,97537
41009,10091-2024-ORS002,97016
41011,10091-2024-ORS002,97466
41015,10091-2024-ORS002,97406
41015,10091-2024-ORS002,97415
41015,10091-2024-ORS002,97465
41015,10091-2024-ORS002,97476
41015,10091-2024-ORS002,97491
41043,10091-2024-ORS002,97327
41043,10091-2024-ORS002,97335
41043,10091-2024-ORS002,97446
41051,10091-2024-ORS002,97290
41039,10091-2024-ORS002,97390
41039,10091-2024-ORS002,97498
41039,10091-2024-ORS002,97434
41039,10091-2024-ORS002,97438
41039,10091-2024-ORS002,97440
41039,10091-2024-ORS002,97452
41039,10091-2024-ORS002,97455
41039,10091-2024-ORS002,97489
41043,10091-2024-ORS002,97333
41043,10091-2024-ORS002,97322
41043,10091-2024-ORS002,97336
41043,10091-2024-ORS002,97386
41067,10091-2024-ORS002,97231
41041,10091-2024-ORS002,97390
41067,10091-2024-ORS002,97003
41067,10091-2024-ORS002,97005
41067,10091-2024-ORS002,97006
41067,10091-2024-ORS002,97007
41067,10091-2024-ORS002,97008
41041,10091-2024-ORS002,97394
41009,10091-2024-ORS002,97231
41067,10091-2024-ORS002,97075
41067,10091-2024-ORS002,97077
41067,10091-2024-ORS002,97106
41067,10091-2024-ORS002,97123
41007,10091-2024-ORS002,97016
41067,10091-2024-ORS002,97133
41067,10091-2024-ORS002,97140
41067,10091-2024-ORS002,97223
41007,10091-2024-ORS002,97131
41007,10091-2024-ORS002,97102
41007,10091-2024-ORS002,97121
41009,10091-2024-ORS002,97018
41009,10091-2024-ORS002,97053
41009,10091-2024-ORS002,97054
41067,10091-2024-ORS002,97224
41071,10091-2024-ORS002,97127
41071,10091-2024-ORS002,97148
41011,10091-2024-ORS002,97423
41011,10091-2024-ORS002,97449
41015,10091-2024-ORS002,97444
41015,10091-2024-ORS002,97450
41015,10091-2024-ORS002,97464
41071,10091-2024-ORS002,97123
41071,10091-2024-ORS002,97140
41071,10091-2024-ORS002,97396
41029,10091-2024-ORS002,97503
41029,10091-2024-ORS002,97520
41029,10091-2024-ORS002,97539
41029,10091-2024-ORS002,97541
41051,10091-2024-ORS002,97010
41051,10091-2024-ORS002,97024
41051,10091-2024-ORS002,97060
41051,10091-2024-ORS002,97201
41009,10091-2024-ORS002,97056
41009,10091-2024-ORS002,97064
41011,10091-2024-ORS002,97407
41011,10091-2024-ORS002,97411
41011,10091-2024-ORS002,97414
41029,10091-2024-ORS002,97540
41011,10091-2024-ORS002,97420
41011,10091-2024-ORS002,97458
41011,10091-2024-ORS002,97459
41035,10091-2024-ORS002,97739
